num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
723.0,178.0,0.0,855.0,1000.0,760505847.0,3054.0,237000000.0,2009.0,936.0,7.9,1.78,33000.0
302.0,169.0,563.0,1000.0,40000.0,309404152.0,1238.0,300000000.0,2007.0,5000.0,7.1,2.35,0.0
602.0,148.0,0.0,161.0,11000.0,200074175.0,994.0,245000000.0,2015.0,393.0,6.8,2.35,85000.0
813.0,164.0,22000.0,23000.0,27000.0,448130642.0,2701.0,250000000.0,2012.0,23000.0,8.5,2.35,164000.0
462.0,132.0,475.0,530.0,640.0,73058679.0,738.0,263700000.0,2012.0,632.0,6.6,2.35,24000.0
392.0,156.0,0.0,4000.0,24000.0,336530303.0,1902.0,258000000.0,2007.0,11000.0,6.2,2.35,0.0
324.0,100.0,15.0,284.0,799.0,200807262.0,387.0,260000000.0,2010.0,553.0,7.8,1.85,29000.0
635.0,141.0,0.0,19000.0,26000.0,458991599.0,1117.0,250000000.0,2015.0,21000.0,7.5,2.35,118000.0
375.0,153.0,282.0,10000.0,25000.0,301956980.0,973.0,250000000.0,2009.0,11000.0,7.5,2.35,10000.0
673.0,183.0,0.0,2000.0,15000.0,330249062.0,3018.0,250000000.0,2016.0,4000.0,6.9,2.35,197000.0
434.0,169.0,0.0,903.0,18000.0,200069408.0,2367.0,209000000.0,2006.0,10000.0,6.1,2.35,0.0
403.0,106.0,395.0,393.0,451.0,168368427.0,1243.0,200000000.0,2008.0,412.0,6.7,2.35,0.0
313.0,151.0,563.0,1000.0,40000.0,423032628.0,1832.0,225000000.0,2006.0,5000.0,7.3,2.35,5000.0
450.0,150.0,563.0,1000.0,40000.0,89289910.0,711.0,215000000.0,2013.0,2000.0,6.5,2.35,48000.0
733.0,143.0,0.0,748.0,15000.0,291021565.0,2536.0,225000000.0,2013.0,3000.0,7.2,2.35,118000.0
258.0,150.0,80.0,201.0,22000.0,141614023.0,438.0,225000000.0,2008.0,216.0,6.6,2.35,0.0
703.0,173.0,0.0,19000.0,26000.0,623279547.0,1722.0,220000000.0,2012.0,21000.0,8.1,1.85,123000.0
448.0,136.0,252.0,1000.0,40000.0,241063875.0,484.0,250000000.0,2011.0,11000.0,6.7,2.35,58000.0
451.0,106.0,188.0,718.0,10000.0,179020854.0,341.0,225000000.0,2012.0,816.0,6.8,1.85,40000.0
422.0,164.0,0.0,773.0,5000.0,255108370.0,802.0,250000000.0,2014.0,972.0,7.5,2.35,65000.0
599.0,153.0,464.0,963.0,15000.0,262030663.0,1225.0,230000000.0,2012.0,10000.0,7.0,2.35,56000.0
343.0,156.0,0.0,738.0,891.0,105219735.0,546.0,200000000.0,2010.0,882.0,6.7,2.35,17000.0
509.0,186.0,0.0,773.0,5000.0,258355354.0,951.0,225000000.0,2013.0,972.0,7.9,2.35,83000.0
251.0,113.0,129.0,1000.0,16000.0,70083519.0,666.0,180000000.0,2007.0,6000.0,6.1,2.35,0.0
446.0,201.0,0.0,84.0,6000.0,218051260.0,2618.0,207000000.0,2005.0,919.0,7.2,2.35,0.0
