num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_1_facebook_likes,gross,num_user_for_reviews,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes,num_voted_users,cast_total_facebook_likes,facenumber_in_poster
723.0,178.0,0.0,855.0,1000.0,760505847.0,3054.0,237000000.0,2009.0,936.0,7.9,1.78,33000.0,886204.0,4834.0,0.0
302.0,169.0,563.0,1000.0,40000.0,309404152.0,1238.0,300000000.0,2007.0,5000.0,7.1,2.35,0.0,471220.0,48350.0,0.0
602.0,148.0,0.0,161.0,11000.0,200074175.0,994.0,245000000.0,2015.0,393.0,6.8,2.35,85000.0,275868.0,11700.0,1.0
813.0,164.0,22000.0,23000.0,27000.0,448130642.0,2701.0,250000000.0,2012.0,23000.0,8.5,2.35,164000.0,1144337.0,106759.0,0.0
462.0,132.0,475.0,530.0,640.0,73058679.0,738.0,263700000.0,2012.0,632.0,6.6,2.35,24000.0,212204.0,1873.0,1.0
392.0,156.0,0.0,4000.0,24000.0,336530303.0,1902.0,258000000.0,2007.0,11000.0,6.2,2.35,0.0,383056.0,46055.0,0.0
324.0,100.0,15.0,284.0,799.0,200807262.0,387.0,260000000.0,2010.0,553.0,7.8,1.85,29000.0,294810.0,2036.0,1.0
635.0,141.0,0.0,19000.0,26000.0,458991599.0,1117.0,250000000.0,2015.0,21000.0,7.5,2.35,118000.0,462669.0,92000.0,4.0
375.0,153.0,282.0,10000.0,25000.0,301956980.0,973.0,250000000.0,2009.0,11000.0,7.5,2.35,10000.0,321795.0,58753.0,3.0
673.0,183.0,0.0,2000.0,15000.0,330249062.0,3018.0,250000000.0,2016.0,4000.0,6.9,2.35,197000.0,371639.0,24450.0,0.0
434.0,169.0,0.0,903.0,18000.0,200069408.0,2367.0,209000000.0,2006.0,10000.0,6.1,2.35,0.0,240396.0,29991.0,0.0
403.0,106.0,395.0,393.0,451.0,168368427.0,1243.0,200000000.0,2008.0,412.0,6.7,2.35,0.0,330784.0,2023.0,1.0
313.0,151.0,563.0,1000.0,40000.0,423032628.0,1832.0,225000000.0,2006.0,5000.0,7.3,2.35,5000.0,522040.0,48486.0,2.0
450.0,150.0,563.0,1000.0,40000.0,89289910.0,711.0,215000000.0,2013.0,2000.0,6.5,2.35,48000.0,181792.0,45757.0,1.0
733.0,143.0,0.0,748.0,15000.0,291021565.0,2536.0,225000000.0,2013.0,3000.0,7.2,2.35,118000.0,548573.0,20495.0,0.0
258.0,150.0,80.0,201.0,22000.0,141614023.0,438.0,225000000.0,2008.0,216.0,6.6,2.35,0.0,149922.0,22697.0,4.0
703.0,173.0,0.0,19000.0,26000.0,623279547.0,1722.0,220000000.0,2012.0,21000.0,8.1,1.85,123000.0,995415.0,87697.0,3.0
448.0,136.0,252.0,1000.0,40000.0,241063875.0,484.0,250000000.0,2011.0,11000.0,6.7,2.35,58000.0,370704.0,54083.0,4.0
451.0,106.0,188.0,718.0,10000.0,179020854.0,341.0,225000000.0,2012.0,816.0,6.8,1.85,40000.0,268154.0,12572.0,1.0
422.0,164.0,0.0,773.0,5000.0,255108370.0,802.0,250000000.0,2014.0,972.0,7.5,2.35,65000.0,354228.0,9152.0,0.0
599.0,153.0,464.0,963.0,15000.0,262030663.0,1225.0,230000000.0,2012.0,10000.0,7.0,2.35,56000.0,451803.0,28489.0,0.0
343.0,156.0,0.0,738.0,891.0,105219735.0,546.0,200000000.0,2010.0,882.0,6.7,2.35,17000.0,211765.0,3244.0,0.0
509.0,186.0,0.0,773.0,5000.0,258355354.0,951.0,225000000.0,2013.0,972.0,7.9,2.35,83000.0,483540.0,9152.0,6.0
251.0,113.0,129.0,1000.0,16000.0,70083519.0,666.0,180000000.0,2007.0,6000.0,6.1,2.35,0.0,149019.0,24106.0,2.0
446.0,201.0,0.0,84.0,6000.0,218051260.0,2618.0,207000000.0,2005.0,919.0,7.2,2.35,0.0,316018.0,7123.0,0.0
315.0,194.0,0.0,794.0,29000.0,658672302.0,2528.0,200000000.0,1997.0,14000.0,7.7,2.35,26000.0,793059.0,45223.0,0.0
516.0,147.0,94.0,11000.0,21000.0,407197282.0,1022.0,250000000.0,2016.0,19000.0,8.2,2.35,72000.0,272670.0,64798.0,0.0
377.0,131.0,532.0,627.0,14000.0,65173160.0,751.0,209000000.0,2012.0,10000.0,5.9,2.35,44000.0,202382.0,26679.0,0.0
644.0,124.0,365.0,1000.0,3000.0,652177271.0,1290.0,150000000.0,2015.0,2000.0,7.0,2.0,150000.0,418214.0,8458.0,0.0
750.0,143.0,0.0,393.0,883.0,304360277.0,1498.0,200000000.0,2012.0,563.0,7.8,2.35,80000.0,522030.0,2039.0,0.0
300.0,135.0,0.0,4000.0,24000.0,373377893.0,1303.0,200000000.0,2004.0,11000.0,7.3,2.35,0.0,411164.0,43388.0,1.0
608.0,195.0,1000.0,3000.0,21000.0,408992272.0,1187.0,200000000.0,2013.0,4000.0,7.2,2.35,95000.0,557489.0,30426.0,3.0
451.0,108.0,13000.0,11000.0,40000.0,334185206.0,736.0,200000000.0,2010.0,25000.0,6.5,1.85,24000.0,306320.0,79957.0,0.0
334.0,104.0,420.0,560.0,20000.0,234360014.0,1912.0,210000000.0,2006.0,808.0,6.8,2.35,0.0,383427.0,21714.0,0.0
376.0,104.0,37.0,760.0,12000.0,268488329.0,265.0,200000000.0,2013.0,779.0,7.3,1.85,44000.0,235025.0,14863.0,0.0
366.0,150.0,0.0,464.0,894.0,402076689.0,1439.0,200000000.0,2009.0,581.0,6.0,2.35,0.0,323207.0,3218.0,0.0
378.0,165.0,0.0,808.0,974.0,245428137.0,918.0,210000000.0,2014.0,956.0,5.7,2.35,56000.0,242420.0,3988.0,2.0
525.0,130.0,0.0,11000.0,44000.0,234903076.0,511.0,215000000.0,2013.0,15000.0,6.4,2.35,60000.0,175409.0,73441.0,4.0
495.0,142.0,464.0,825.0,15000.0,202853933.0,1067.0,200000000.0,2014.0,10000.0,6.7,2.35,41000.0,321227.0,28631.0,0.0
469.0,125.0,364.0,1000.0,12000.0,172051787.0,665.0,170000000.0,2010.0,10000.0,6.8,2.35,30000.0,264183.0,25550.0,0.0
304.0,106.0,487.0,776.0,1000.0,191450875.0,283.0,200000000.0,2011.0,919.0,6.3,2.35,10000.0,101178.0,4482.0,0.0
436.0,123.0,258.0,326.0,16000.0,116593191.0,550.0,200000000.0,2011.0,368.0,5.6,2.35,24000.0,223393.0,17657.0,2.0
453.0,103.0,125.0,721.0,15000.0,414984497.0,733.0,200000000.0,2010.0,1000.0,8.3,1.85,30000.0,544884.0,19085.0,3.0
422.0,118.0,368.0,988.0,23000.0,125320003.0,974.0,200000000.0,2009.0,3000.0,6.6,2.35,0.0,286095.0,27468.0,0.0
424.0,140.0,0.0,14000.0,26000.0,350034110.0,657.0,190000000.0,2015.0,23000.0,7.2,2.35,94000.0,278232.0,79150.0,0.0
654.0,123.0,395.0,1000.0,17000.0,202351611.0,995.0,190000000.0,2013.0,11000.0,7.0,2.35,129000.0,465019.0,32392.0,0.0
539.0,149.0,0.0,20000.0,34000.0,233914986.0,752.0,200000000.0,2014.0,22000.0,8.0,2.35,82000.0,514125.0,91434.0,7.0
590.0,132.0,14000.0,928.0,19000.0,228756232.0,1171.0,190000000.0,2013.0,981.0,7.8,2.35,92000.0,395573.0,21411.0,0.0
338.0,114.0,0.0,140.0,979.0,65171860.0,205.0,195000000.0,2013.0,557.0,6.3,2.35,22000.0,106416.0,1766.0,1.0
490.0,143.0,1000.0,77.0,29000.0,144812796.0,753.0,105000000.0,2013.0,509.0,7.3,2.35,115000.0,362912.0,29770.0,4.0
306.0,116.0,179.0,236.0,15000.0,90755643.0,453.0,200000000.0,2010.0,567.0,6.6,2.35,23000.0,222403.0,16149.0,2.0
575.0,131.0,0.0,919.0,16000.0,101785482.0,1106.0,190000000.0,2013.0,968.0,7.0,1.85,83000.0,381148.0,19166.0,0.0
428.0,154.0,0.0,581.0,894.0,352358779.0,899.0,195000000.0,2011.0,829.0,6.3,2.35,46000.0,326180.0,2593.0,2.0
470.0,122.0,14000.0,1000.0,11000.0,317011114.0,2054.0,185000000.0,2008.0,1000.0,6.2,2.35,5000.0,333847.0,14959.0,2.0
298.0,93.0,113.0,113.0,275.0,123070338.0,345.0,0.0,2015.0,150.0,6.8,2.35,20000.0,62836.0,696.0,0.0
488.0,93.0,56.0,838.0,2000.0,237282182.0,428.0,185000000.0,2012.0,1000.0,7.2,2.35,39000.0,273556.0,5005.0,0.0
322.0,122.0,681.0,105.0,998.0,130468626.0,432.0,185000000.0,2016.0,119.0,7.5,2.35,30000.0,53607.0,1327.0,4.0
421.0,98.0,475.0,522.0,1000.0,223806889.0,1043.0,180000000.0,2008.0,729.0,8.4,2.35,16000.0,718837.0,2975.0,0.0
162.0,91.0,420.0,173.0,268.0,140080850.0,221.0,140000000.0,2007.0,268.0,6.2,2.35,0.0,121084.0,1125.0,2.0
367.0,158.0,776.0,310.0,1000.0,166112167.0,1055.0,200000000.0,2009.0,468.0,5.8,2.35,13000.0,283418.0,2144.0,0.0
240.0,96.0,0.0,10000.0,18000.0,137850096.0,249.0,200000000.0,2009.0,14000.0,6.8,2.35,0.0,72809.0,48878.0,0.0
384.0,127.0,0.0,13000.0,17000.0,47375327.0,720.0,176000000.0,2015.0,15000.0,5.4,2.35,44000.0,139593.0,47334.0,1.0
248.0,110.0,282.0,103.0,11000.0,124051759.0,239.0,180000000.0,2016.0,10000.0,6.6,2.35,29000.0,42372.0,21175.0,2.0
284.0,150.0,80.0,82.0,1000.0,291709845.0,1463.0,180000000.0,2005.0,190.0,6.9,2.35,0.0,286506.0,1317.0,5.0
396.0,144.0,0.0,1000.0,34000.0,154985087.0,622.0,178000000.0,2016.0,13000.0,7.3,2.35,54000.0,148379.0,49684.0,6.0
645.0,152.0,22000.0,11000.0,23000.0,533316061.0,4667.0,185000000.0,2008.0,13000.0,9.0,2.35,37000.0,1676169.0,57802.0,0.0
408.0,96.0,0.0,262.0,1000.0,292979556.0,704.0,175000000.0,2009.0,848.0,8.3,1.85,27000.0,665575.0,2635.0,1.0
219.0,94.0,11.0,459.0,1000.0,198332128.0,187.0,175000000.0,2009.0,973.0,6.5,2.35,0.0,114553.0,2579.0,2.0
486.0,126.0,4000.0,4000.0,21000.0,318298180.0,1055.0,140000000.0,2008.0,12000.0,7.9,2.35,10000.0,696338.0,39252.0,3.0
682.0,126.0,17000.0,1000.0,17000.0,73820094.0,678.0,170000000.0,2011.0,16000.0,7.5,1.85,42000.0,245333.0,36017.0,0.0
85.0,106.0,188.0,582.0,10000.0,113745408.0,648.0,170000000.0,1999.0,4000.0,4.8,1.85,0.0,129601.0,15870.0,2.0
264.0,112.0,357.0,595.0,5000.0,102176165.0,501.0,145000000.0,2008.0,3000.0,5.2,2.35,0.0,117927.0,9131.0,2.0
418.0,123.0,452.0,329.0,10000.0,161087183.0,971.0,175000000.0,2016.0,336.0,6.9,2.35,80000.0,118992.0,11287.0,8.0
186.0,96.0,293.0,7000.0,87000.0,100289690.0,257.0,175000000.0,2007.0,11000.0,5.4,2.35,2000.0,115099.0,108016.0,0.0
585.0,113.0,218.0,509.0,10000.0,100189501.0,741.0,178000000.0,2014.0,854.0,7.9,2.35,77000.0,431620.0,12652.0,1.0
91.0,176.0,58.0,60.0,711.0,88246220.0,309.0,175000000.0,1995.0,60.0,6.1,1.85,0.0,144337.0,1004.0,0.0
250.0,118.0,208.0,570.0,23000.0,150167630.0,534.0,175000000.0,2009.0,2000.0,5.8,2.35,0.0,174578.0,26683.0,4.0
536.0,95.0,0.0,384.0,1000.0,356454367.0,773.0,175000000.0,2015.0,767.0,8.3,1.85,118000.0,345198.0,2944.0,1.0
370.0,106.0,4000.0,591.0,19000.0,362645141.0,398.0,175000000.0,2016.0,13000.0,7.8,1.85,65000.0,106072.0,32921.0,0.0
453.0,124.0,4000.0,4000.0,21000.0,312057433.0,723.0,200000000.0,2010.0,19000.0,7.0,2.35,18000.0,522371.0,48638.0,4.0
416.0,132.0,274.0,11000.0,26000.0,155111815.0,710.0,170000000.0,2012.0,17000.0,6.1,2.35,53000.0,228554.0,72881.0,0.0
401.0,97.0,171.0,846.0,11000.0,241407328.0,634.0,180000000.0,2014.0,2000.0,7.0,2.35,89000.0,252257.0,15516.0,2.0
521.0,130.0,198.0,884.0,10000.0,208543795.0,620.0,170000000.0,2014.0,2000.0,7.6,1.85,45000.0,317542.0,14363.0,0.0
218.0,128.0,47.0,982.0,18000.0,38297305.0,324.0,175000000.0,2013.0,1000.0,6.3,2.35,35000.0,116994.0,20965.0,2.0
576.0,136.0,94.0,2000.0,19000.0,259746958.0,742.0,170000000.0,2014.0,11000.0,7.8,2.35,55000.0,496749.0,36188.0,1.0
226.0,93.0,31.0,213.0,4000.0,238371987.0,173.0,165000000.0,2010.0,225.0,6.4,2.35,0.0,138661.0,4628.0,2.0
443.0,130.0,663.0,604.0,2000.0,93417865.0,497.0,190000000.0,2015.0,638.0,6.5,2.2,37000.0,128306.0,5046.0,2.0
384.0,102.0,38.0,562.0,756.0,222487711.0,433.0,165000000.0,2014.0,719.0,7.9,2.39,41000.0,279093.0,2963.0,0.0
377.0,101.0,66.0,833.0,975.0,189412677.0,345.0,165000000.0,2012.0,931.0,7.8,2.35,40000.0,272534.0,4451.0,1.0
188.0,100.0,0.0,267.0,15000.0,665426.0,444.0,165000000.0,2004.0,726.0,6.6,2.35,10000.0,120798.0,16264.0,0.0
286.0,120.0,776.0,535.0,890.0,102315545.0,520.0,165000000.0,2016.0,812.0,5.5,2.35,67000.0,58137.0,3233.0,0.0
288.0,98.0,255.0,759.0,18000.0,217387997.0,492.0,165000000.0,2010.0,953.0,8.2,2.35,33000.0,485430.0,20453.0,0.0
280.0,109.0,84.0,191.0,648.0,150350192.0,1676.0,200000000.0,2003.0,284.0,6.4,2.35,0.0,305340.0,1769.0,0.0
